id,NAME,POP_EST,POP_RANK,POP_YEAR,GDP_YEAR,ECONOMY,INCOME_GRP,Total Primary Production (Mtoe),Total Primary Consumption (Mtoe),Oil Products Production (Mt),Oil Products Consumption (Mt),Natural Gas Production (bcm),Natural Gas Consumption (bcm),Coal Production (Mt),Coal Consumption (Mt),Electricity Production (TWh),Electricity Consumption (TWh),SREP_2016,CO2E_2016,i_code
24,Kuwait,2875422,12,2017,2016,Developing region,High income: nonOECD,181,37,46,17,17,21,0,0,71,53,0,96,wc-201624
25,Mexico,124574795,17,2017,2016,Emerging region: MIKT,Upper middle income,192,182,58,81,40,70,15,22,310,268,14.74,435,wc-201625
26,Malaysia,31381992,15,2017,2016,Developing region,Upper middle income,95,94,26,32,67,41,1,28,164,149,11.37,260,wc-201626
27,Nigeria,190632261,17,2017,2016,Emerging region: G20,Lower middle income,249,137,2,11,40,16,0,0,30,24,17.59,63,wc-201627
28,Netherlands,17084719,14,2017,2016,Developed region: nonG7,High income: OECD,43,74,62,24,48,42,0,16,115,107,13.46,174,wc-201628
29,Norway,5320045,13,2017,2016,Developed region: nonG7,High income: OECD,209,30,13,9,120,6,1,1,150,121,97.87,38,wc-201629
30,New Zealand,4510327,12,2017,2016,Developed region: nonG7,High income: OECD,16,21,6,7,5,5,3,3,44,39,83.99,33,wc-201630
31,Poland,38476269,15,2017,2016,Developed region: nonG7,High income: OECD,67,98,27,25,6,19,131,124,165,141,15.45,292,wc-201631
32,Portugal,10839514,14,2017,2016,Developed region: nonG7,High income: OECD,6,22,15,9,0,5,0,5,61,47,55.15,49,wc-201632
33,Romania,21529967,15,2017,2016,Developed region: nonG7,Upper middle income,25,33,12,9,10,11,22,27,68,51,46.2,69,wc-201633
34,Russia,142257519,17,2017,2016,Emerging region: BRIC,Upper middle income,1346,692,276,149,628,423,359,210,1088,887,17.41,1560,wc-201634
35,Saudi Arabia,28571770,15,2017,2016,Developed region: nonG7,High income: nonOECD,685,223,173,112,90,90,0,0,327,296,0,555,wc-201635
36,Sweden,9960487,13,2017,2016,Developed region: nonG7,High income: OECD,35,50,20,11,0,1,0,3,155,131,57.22,42,wc-201636
37,Thailand,68414135,16,2017,2016,Emerging region: G20,Upper middle income,77,139,63,53,34,49,17,36,180,183,9.16,272,wc-201637
38,Turkey,80845215,16,2017,2016,Emerging region: MIKT,Upper middle income,38,139,30,40,0,47,71,106,274,229,32.53,342,wc-201638
39,Taiwan,23508428,15,2017,2016,Developed region: nonG7,High income: nonOECD,11,110,43,40,0,18,0,63,266,241,5.43,264,wc-201639
40,Ukraine,44033874,15,2017,2016,Developing region,Lower middle income,61,91,1,11,20,31,36,55,164,128,6.54,189,wc-201640
41,United States of America,326625791,17,2017,2016,Developed region: G7,High income: OECD,1952,2204,867,771,750,782,683,661,4327,3867,15.42,5112,wc-201641
42,Uzbekistan,29748859,15,2017,2016,Developing region,Lower middle income,52,44,3,2,58,48,4,4,59,49,20.97,103,wc-201642
43,Venezuela,31304016,15,2017,2016,Emerging region: G20,Upper middle income,174,65,48,29,29,0,0,0,134,83,54.04,154,wc-201643
44,South Africa,54841552,16,2017,2016,Emerging region: G20,Upper middle income,164,145,22,26,1,5,250,194,250,205,4.18,454,wc-201644
